id,companie,tara,tip,dimensiune,decizie_maker_titlu,email_estimat,email_note,linkedin_url,de_ce_vagotech,prioritate
21,Stadler Rail Berlin GmbH,Germania,OEM material rulant,Mare,Head of Procurement / Supply Chain Manager,info@stadlerrail.com,Format oficial grup,https://www.linkedin.com/company/stadler-rail,"Lider piata DE tramvaie 44% market share (1413 vagoane comandate); contracte S-Bahn Berlin (1400 vagoane cu Siemens) + tram Koln; furnizor cheie geamuri productie serie",HIGH
22,Siemens Mobility GmbH,Germania,OEM / Solutii sistem,Mare,Head of Supply Chain Railcar / Procurement Manager Glass,mobility@siemens.com,Format oficial,https://www.linkedin.com/company/siemens-mobility,"10% piata DE tramvaie (323 vehicule); contract S-Bahn Berlin; tren automat Copenhaga EUR 3 mld; necesita geamuri certificate serii mari",HIGH
23,Alstom Transport Deutschland GmbH,Germania,OEM / Solutii sistem,Mare,Procurement Director / Head of Supply Glass,alstom.de@alstomgroup.com,Format estimat grup,https://www.linkedin.com/company/alstom,"24% piata DE (787 vehicule); Coradia/Citadis/Metropolis; contract BDZ Bulgaria EUR 600 mil; geamuri serii mari si export",HIGH
24,DB Fahrzeuginstandhaltung GmbH,Germania,Mentenanta material rulant,Foarte mare,Leiter Einkauf / Technischer Leiter,einkauf@db-fzi.com,Format estimat,https://www.linkedin.com/company/db-fahrzeuginstandhaltung,"Cel mai mare atelier mentenanta feroviara Europa; 15 locatii in Germania; consum masiv geamuri inlocuire (ICE/IC/S-Bahn/regional)",HIGH
25,Alstom Hennigsdorf (fosta Bombardier),Germania,OEM,Mare,Supply Chain Manager,— contact prin Alstom Group —,Contact prin grup,https://www.linkedin.com/company/alstom,"Fabrica Hennigsdorf produce TWINDEXX si Talent; productie activa necesita geamuri de serie",MEDIUM
26,CAF Deutschland GmbH,Germania,OEM,Mediu,Procurement Manager,info@cafmobility.com,Format grup,https://www.linkedin.com/company/caf-construcciones-y-auxiliar-de-ferrocarriles-,"Tramvaie Urbos active in Germania; contract recent Colonia + alte orase; geamuri Urbos - oportunitate serie",MEDIUM
27,Berliner Verkehrsbetriebe (BVG),Germania,Operator transport urban,Mare,Leiter Einkauf / Technischer Direktor,info@bvg.de,Format oficial,https://www.linkedin.com/company/bvg-berliner-verkehrsbetriebe,"480+ tramvaie Bombardier Flexity; metro + tramvai + autobuz Berlin; mentenanta geamuri la scara mare",HIGH
28,Hamburger Hochbahn AG,Germania,Operator metro/autobuz,Mare,Abteilungsleiter Einkauf,info@hochbahn.de,Format oficial,https://www.linkedin.com/company/hamburger-hochbahn,"U-Bahn Hamburg flota Alstom DT5/DT6; mentenanta activa; geamuri reparatii si modernizare",MEDIUM
29,Amtrak,SUA,Operator feroviar national,Foarte mare,VP Procurement / Director Fleet Maintenance,procurement@amtrak.com,Format estimat,https://www.linkedin.com/company/amtrak,"Operator national; flota Acela (Alstom) + Superliner/Viewliner; Airo CAF in livrare; modernizare masiva; consum geamuri/parbrizuri; proximitate NJ Office VAGOTECH",HIGH
30,New Jersey Transit,SUA,Operator transport public,Mare,Chief Procurement Officer / Director Materials,procurement@njtransit.com,Format estimat,https://www.linkedin.com/company/new-jersey-transit,"Cel mai mare operator stat SUA; flota trenuri Multilevel CAF + ALP-45 + light rail; NJ = locatie US office xglass.eu; consum geamuri mentenanta",HIGH
31,MTA - Metropolitan Transportation Authority,SUA,Operator transport public,Foarte mare,Chief Procurement Officer / SVP Materiel,— contact prin mta.info —,Contact prin site oficial,https://www.linkedin.com/company/metropolitan-transportation-authority,"NYCT Subway + LIRR + Metro-North; 8000+ vagoane metro; modernizare R211 Kawasaki; cel mai mare sistem metro SUA",HIGH
32,Wabtec Corporation,SUA,OEM componente / locomotive,Foarte mare,VP Procurement / Supply Chain Director,info@wabtec.com,Format oficial,https://www.linkedin.com/company/wabtec-corporation,"OEM major SUA locomotive Tier 4 + componente feroviare (ex GE Transportation); necesita geamuri certificate FRA locomotive si vagoane; Pittsburgh PA",HIGH
33,Siemens Mobility US,SUA,OEM,Mare,Head of Supply Chain / Procurement Manager,mobility.us@siemens.com,Format estimat,https://www.linkedin.com/company/siemens-mobility,"Fabrica Sacramento (Charger locomotive/ACS-64/Venture wagoane); contracte Amtrak Airo + Brightline West; geamuri de serie productie US",HIGH
34,Alstom US - Hornell NY,SUA,OEM,Mare,Supply Chain Director / Procurement Glass,contact.us@alstomgroup.com,Format estimat grup,https://www.linkedin.com/company/alstom,"Fabrica Hornell produce Acela 2 + M8 MNRR; productie activa cerinte geamuri; acces prin relatia Alstom grup (DE/BG/RO)",HIGH
35,CAF USA Inc.,SUA,OEM,Mediu,Procurement Manager,usa@cafmobility.com,Format estimat,https://www.linkedin.com/company/caf-construcciones-y-auxiliar-de-ferrocarriles-,"Produce vagoane NJ Transit Multilevel + light rail LA + streetcar; plant Elmira Heights NY; furnizor geamuri FRA-compliant",MEDIUM
36,WMATA,SUA,Operator metro,Mare,Chief Procurement Officer,procurement@wmata.com,Format estimat,https://www.linkedin.com/company/wmata,"Metro DC flota 7000-Series Kawasaki; modernizare activa; Custom Glass Solutions confirmat furnizor 7000-Series - oportunitate concurenta/inlocuire",MEDIUM
37,Srbijavoz a.d. (Srbija Voz),Serbia,Operator feroviar pasageri,Mare,Direktor Tehnicke Sluzbe / Rukovodilac Nabavke,info@srbvoz.rs,Format estimat,https://www.linkedin.com/company/srbijavoz,"21 seturi EMU Stadler FLIRT (2013 - aproape de ciclul revizii majore); 42 locomotive; 95 vagoane; >60% locomotive >30 ani; mentenanta geamuri urgenta",HIGH
38,Srbija Kargo a.d.,Serbia,Operator cargo,Mare,Direktor Tehnicke Sluzbe / Procurement Manager,office@srbcargo.rs,Format oficial,https://www.linkedin.com/company/srbija-kargo,"Tender activ EBRD reparatii 1250 vagoane marfa + 8 locomotive diesel noi; EUR 90 mil investitie modernizare; geamuri cab locomotive",HIGH
39,Infrastruktura Zeleznice Srbije,Serbia,Infrastructura feroviara,Mare,Direktor Tehnicke Sluzbe,office@infrastruktura.rs,Format estimat,https://www.linkedin.com/company/infrastruktura-zeleznice-srbije,"Entitate separata restructurare Serbian Railways; vehicule tehnice (masini de cale); target secundar",LOW
40,GSP Beograd,Serbia,Operator tramvai/autobuz,Mare,Direktor Tehnicke Sluzbe / Nabavka,gsp@gsp.rs,Format oficial,https://www.linkedin.com/company/gsp-beograd,"100 tramvaie noi CAF Urbos (2019) + Tatras vechi; mentenanta geamuri flota mixta",HIGH
41,ZAS Serbia / CAF service Belgrad,Serbia,Mentenanta,Mic,Manager Tehnic,N/A,N/A,N/A,"Service point local tramvaie CAF Urbos la Belgrad",LOW
42,JKP Niskogradnja Novi Sad,Serbia,Operator tramvai,Mic,Director Tehnic,niskogradnja@novisad.rs,Format estimat,N/A,"Tramvaie Novi Sad; mentenanta geamuri",LOW
43,CRRC Serbia service center,Serbia,OEM service,Mediu,Service Manager,— contact prin CRRC Changchun —,Contact prin grup,https://www.linkedin.com/company/crrc,"9 trenuri high-speed CRRC pe ruta Belgrad-Budapesta (operationala 2026); geamuri/parbrizuri pentru trenuri high-speed",MEDIUM
44,BDZ EAD - Bulgarski Darzhavni Zheleznitsi,Bulgaria,Operator feroviar national,Mare,Direktor Tehnicheska Slujba / Nachalnik Otdel Dostavki,bdz@bdz.bg,Format oficial,https://www.linkedin.com/company/bdz,"Contract Alstom 35 trenuri Coradia Stream (EUR 600 mil) + Skoda; livrarile 2026-2027; geamuri inlocuire flota veche; 35 vagoane second-hand achizitionate apr 2026",HIGH
45,Metropolitan JSC - Sofia Metro,Bulgaria,Operator metro,Mare,Izpalnitelen Direktor / Otdel Dostavki,office@metropolitan.bg,Format oficial,https://www.linkedin.com/company/metropolitan-jsc,"Contract Siemens+Newag 8 seturi linia 3 (EUR 68 mil) + Skoda 8 seturi (EUR 65 mil); livrarile 2026-2027; geamuri trenuri noi si mentenanta flota curenta",HIGH
46,Sofiyski Elektrotransport EAD,Bulgaria,Operator tramvai/troleibuz,Mare,Tehnicheska Slujba / Dostavki Manager,info@sofiatraffic.bg,Format estimat,https://www.linkedin.com/company/sofiyski-elektrotransport,"Tramvaie Sofia (Skoda + Siemens Combino + Tatra vechi); mentenanta activa; geamuri reparatii curente si modernizare",HIGH
47,Plovdivski Elektrotransport EAD,Bulgaria,Operator tramvai,Mic,Director Tehnic,office@pet-plovdiv.bg,Format estimat,N/A,"Tramvaie Plovdiv (Tatra veche partial modernizata); geamuri inlocuire",MEDIUM
48,BMTS - Burgas Municipal Transport,Bulgaria,Operator transport urban,Mic,Director Tehnic,info@bmts.bg,Format estimat,N/A,"Autobuz + posibil tramvai; target mic dar accesibil",LOW
49,Rail Cargo Bulgaria,Bulgaria,Operator cargo privat,Mediu,Fleet Manager / Procurement,office@railcargo.bg,Format estimat,https://www.linkedin.com/company/rail-cargo-group,"Subsidiara Rail Cargo Group (OBB); locomotive Softronic Transmontana bi-sistem RO-BG; geamuri cab locomotive",MEDIUM
50,DB Cargo Bulgaria / DB Arriva,Bulgaria,Operator cargo/pasageri,Mediu,Procurement Manager,— contact prin DB Group —,Contact prin grup,https://www.linkedin.com/company/db-cargo,"Prezenta activa DB Bulgaria (cargo + posibila concesiune pasageri); flota locomotive + vagoane; geamuri mentenanta",MEDIUM
51,Skoda Bulgaria service center,Bulgaria,OEM service,Mic,Service Director,— contact prin Skoda Transportation —,Contact prin grup,https://www.linkedin.com/company/skoda-transportation,"Service center Skoda pentru BDZ si Metropolitan; piese schimb inclusiv geamuri",LOW
